Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,PRE - ORDER DELIVERY (product.metafields.custom.pre_order_delivery),Pyramid Description (product.metafields.custom.pyramid_description),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Low stock threshold (product.metafields.sam.lowstockthreshold),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance (product.metafields.shopify.fragrance),Incense type (product.metafields.shopify.incense-type),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Olfactory family (product.metafields.shopify.olfactory-family),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Target gender (product.metafields.shopify.target-gender),Usage type (product.metafields.shopify.usage-type),EasifyBoxBuilderUrl (product.metafields._easifyboxbuilder.url),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Price / United Arab Emirates,Compare At Price / United Arab Emirates,Included / Bahrain,Price / Bahrain,Compare At Price / Bahrain,Included / KSA,Price / KSA,Compare At Price / KSA,Included / Kuwait,Price / Kuwait,Compare At Price / Kuwait,Included / NORTH AFRICA,Price / NORTH AFRICA,Compare At Price / NORTH AFRICA,Included / Oman,Price / Oman,Compare At Price / Oman,Included / Qatar,Price / Qatar,Compare At Price / Qatar,Status
oud-muattar-ghanaati-100-g,OUD MUATTAR GHANAATI 100 G,"<span>Oud Muattar Ghanaati is a fragrant (incense) dukhoon that combines the rich aroma of oud with a delightful perfume blend, offering a unique bakhar (smoke fragrance) experience. This particular scent features a captivating composition with top notes of pineapple, bergamot, orange, saffron, plum, and lemon. Its heart notes consist of the floral essences of rose, jasmine, and lily of the valley, while the base notes provide a warm and lasting impression with tonka, amber, and cedarwood. To enjoy this incense, simply place the wood chips on top of a coal and allow the smoke to fill the air, creating a pleasant ambiance in various spaces such as the living room, wardrobe, cars, or on clothes. It is important to keep the incense in a high place and out of reach of children, as it is flammable. Directions for use: Place a coal on a bukhoor burner and ensure to use a foil underneath to prevent overheating. Place the Bukhoor tablet on the coal to release the captivating fragrance. Keep the burner on elevated surfaces, away from flames, direct heat, and sunlight. Remember to store it out of reach of children for safety.</span>",khadlaj-perfumes,Home & Garden > Decor > Home Fragrances > Incense,OUD MUATTAR,,true,Size,100 G,,,,,,,,'6291107971940,600.0,shopify,deny,manual,60.00,,true,true,,,,,'6291107971940,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/OUD_MUATTAR_GHANAATI_100_G_-_Khadlaj_Perfumes-1965632.jpg?v=1722411528,1,OUD MUATTAR GHANAATI 100 G - Khadlaj Perfumes,false,Oud Muattar Rich Musk Aroma - Luxury Home Fragrance,Rich musk oud Muattar aroma for a luxurious home ambiance. Perfect for long-lasting fragrance and elegance.,3686,,,,,,,,,,,,"<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Top Notes</h6>
<p> Pineapple, Bergamot, Orange, Saffron, Plum, Lemon</p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Middle Notes</h6>
<p>Rose, Jasmine, Lily of the Valley</p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Base Notes</h6>
<p>Tonka,  Amber, Cedarwood</p>
</div>",,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,75.00,,active
oud-muattar-ghanaati-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/OUD_MUATTAR_GHANAATI_100_G_-_Khadlaj_Perfumes-1965637.jpg?v=1722411534,2,OUD MUATTAR GHANAATI 100 G - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oud-muattar-ghanaati-100-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/OUD_MUATTAR_GHANAATI_100_G_-_Khadlaj_Perfumes-1965640.jpg?v=1722411540,3,OUD MUATTAR GHANAATI 100 G - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bukhoor-al-bahaar-gold-55-g,BUKHOOR AL BAHAAR GOLD 55 G,"<style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}
--></style>
<span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Introducing Bukhoor Al Bahar Gold - a luxurious addition to Khadlaj's prestigious bukhoor collection. Crafted with high-quality Indian oud blends, this exceptional fragrance envelops you in a heavenly aroma that lasts. Perfect for enhancing clothes, living spaces, and cars with a touch of pure luxury.\n\nExperience the captivating top notes of bergamot and iris, followed by the harmonious blend of rose, jasmine, and musk at the heart of the scent. As the fragrance settles, enjoy the comforting base notes of sandalwood and oudh, creating a warm and enchanting ambiance.\n\nBukhoor Al Bahar Gold is a testament to Khadlaj's commitment to quality, with meticulous craftsmanship using pure ingredients. Immerse yourself in the opulent world of fragrances with Bukhoor Al Bahar Gold, an extraordinary addition to your olfactory journey.                                                                                                                                Directions for use: Place a coal on a bukhoor burner and ensure to use a foil underneath to prevent overheating. Place the Bukhoor tablet on the coal to release the captivating fragrance. Keep the burner on elevated surfaces, away from flames, direct heat, and sunlight. Remember to store it out of reach of children for safety.  Directions for use: Place a coal on a bukhoor burner and ensure to use a foil underneath to prevent overheating. Place the Bukhoor tablet on the coal to release the captivating fragrance. Keep the burner on elevated surfaces, away from flames, direct heat, and sunlight. Remember to store it out of reach of children for safety.&quot;}"" data-sheets-userformat='{""2"":15235,""3"":{""1"":0},""4"":{""1"":2,""2"":16776960},""10"":0,""11"":4,""12"":0,""14"":{""1"":2,""2"":0},""15"":""Calibri, sans-serif"",""16"":11}' data-mce-fragment=""1"">Introducing Bukhoor Al Bahar Gold - a luxurious addition to Khadlaj's prestigious bukhoor collection. Crafted with high-quality Indian oud blends, this exceptional fragrance envelops you in a heavenly aroma that lasts. Perfect for enhancing clothes, living spaces, and cars with a touch of pure luxury.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Experience the captivating top notes of bergamot and iris, followed by the harmonious blend of rose, jasmine, and musk at the heart of the scent. As the fragrance settles, enjoy the comforting base notes of sandalwood and oudh, creating a warm and enchanting ambiance.<br data-mce-fragment=""1""><br data-mce-fragment=""1"">Bukhoor Al Bahar Gold is a testament to Khadlaj's commitment to quality, with meticulous craftsmanship using pure ingredients. Immerse yourself in the opulent world of fragrances with Bukhoor Al Bahar Gold, an extraordinary addition to your olfactory journey. Directions for use: Place a coal on a bukhoor burner and ensure to use a foil underneath to prevent overheating. Place the Bukhoor tablet on the coal to release the captivating fragrance. Keep the burner on elevated surfaces, away from flames, direct heat, and sunlight. Remember to store it out of reach of children for safety. Directions for use: Place a coal on a bukhoor burner and ensure to use a foil underneath to prevent overheating. Place the Bukhoor tablet on the coal to release the captivating fragrance. Keep the burner on elevated surfaces, away from flames, direct heat, and sunlight. Remember to store it out of reach of children for safety.</span>",khadlaj-perfumes,Home & Garden > Decor > Home Fragrances > Incense,BAKHOOR,"Bakhoor, Deals, Perfume Spray, UNISEX",true,Size,55 G,,,,,,,,'6291107974736,500.0,shopify,deny,manual,30.00,50.00,true,true,,,,,'6291107974736,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/BUKHOOR_AL_BAHAAR_GOLD_55_G_-_Khadlaj_Perfumes-1964226.jpg?v=1722409036,1,BUKHOOR AL BAHAAR GOLD 55 G - Khadlaj Perfumes,false,Bakhoor Gold Floral Aroma - Premium Home Fragrance,Gold floral bakhoor aroma for a premium home fragrance. Elegant and long-lasting scent experience.,3686,,,,,,,,,,,,"<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Top Notes</h6>
<p>Bergamot, Iris</p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Middle Notes</h6>
<p>Rose, Jasmine, Musk</p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Base Notes</h6>
<p>Oudh, Sandalwood</p>
</div>",,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
bukhoor-al-bahaar-gold-55-g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/BUKHOOR_AL_BAHAAR_GOLD_55_G_-_Khadlaj_Perfumes-1964230.jpg?v=1722409041,2,BUKHOOR AL BAHAAR GOLD 55 G - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-fede-intoxicate-100-ml-edp-spray,LA FEDE INTOXICATE 100 ML EDP SPRAY,"<p><span>Introducing the newly launched LA FEDE INTOXICATE, a luxurious western fragrance crafted exclusively for men. Immerse yourself in the captivating blend of notes that embodies the essence of sophistication and allure. Experience the opulent top notes of Cognac, Lily of the Valley, Almond, Bergamot, Mandarin, and Freesia, which create a harmonious symphony of enticing aromas. Delve into the heart of the fragrance, where the warm and sensual Middle Notes of Cinnamon, Tonka Bean, Coconut, Caramel, Plum Blossom, Peony, and Ylang captivate your senses and leave a lasting impression. As the scent evolves, indulge in the seductive Base Notes of Praline, Vanilla, Amber, Musk and Sandalwood, which exude a sense of refinement and elegance. </span></p>
<p><span>LA FEDE INTOXICATE is the epitome of sophistication, offering a luxurious fragrance experience that complements the modern man's style and charm. Elevate your presence with this captivating scent, designed to make a statement wherever you go.</span></p>",khadlaj-perfumes,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,PERFUME SPRAY,"Deals, Men, Perfume Spray",true,Size,100 ML,,,,,,,,'6291107975405,1000.0,shopify,deny,manual,130.00,150.00,true,true,,,,,'6291107975405,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/LA_FEDE_INTOXICATE_100_ML_EDP_SPRAY_-_Khadlaj_Perfumes-1965026.jpg?v=1722410324,1,LA FEDE INTOXICATE 100 ML EDP SPRAY - Khadlaj Perfumes,false,,,479,,,,,,,,,,,,"<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Top Notes</h6>
<p>Cognac , Lily of the valley, Almond, Bergamot, Mandarin, freesia</p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Middle Notes</h6>
<p>Cinnamon, Tonka Bean, Oak,  coconut, Caramel, Plum blossom, Peony, ylang</p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Base Notes</h6>
<p> Vanilla, Amber, Musk, Sandalwood</p>
</div>",,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
la-fede-intoxicate-100-ml-edp-spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/LA_FEDE_INTOXICATE_100_ML_EDP_SPRAY_-_Khadlaj_Perfumes-1965029.jpg?v=1722410329,2,LA FEDE INTOXICATE 100 ML EDP SPRAY - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la-fede-intoxicate-100-ml-edp-spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/LA_FEDE_INTOXICATE_100_ML_EDP_SPRAY_-_Khadlaj_Perfumes-1965032.jpg?v=1722410335,3,LA FEDE INTOXICATE 100 ML EDP SPRAY - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haneen-gold-20-ml,HANEEN GOLD 20 ML,"<p><span data-mce-fragment=""1"">Haneen Gold Perfume Oil - a luxurious, non-alcoholic concentrated fragrance oil that is completely safe for both your skin and hair. Immerse yourself in the captivating scent created by a meticulous selection of notes. </span></p>
<p><span data-mce-fragment=""1"">Experience the refreshing top notes of Bergamot and Lemon, which provide a vibrant and uplifting essence. Journey into the heart of the fragrance with the enchanting middle notes of Gardenia, Orris, and Rose, adding a touch of floral elegance. As the scent settles, indulge in the warm and alluring base notes of Amber, Musk, and Vanilla, leaving a lasting impression of sophistication and sensuality. Elevate your fragrance experience with Haneen Gold Perfume Oil and embrace the captivating allure it brings.</span></p>",khadlaj-perfumes,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,CPO,"CPO, Men, UNISEX, Women",true,Size,20 ML,,,,,,,,'6291107975795,300.0,shopify,deny,manual,50.00,,true,true,,,,,'6291107975795,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/HANEEN_GOLD_20_ML_-_Khadlaj_Perfumes-1964693.jpg?v=1722409734,1,HANEEN GOLD 20 ML - Khadlaj Perfumes,false,"Amber, Musk, Woody Fragrance | Luxury Perfume Oil Online",Haneen Gold 20ml perfume oil with oriental and musky notes. Alcohol-free fragrance crafted for sophistication and elegance. Shop online best price UAE.,,,,,,,,,,,,,"<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Top Notes</h6>
<p>Bergamot, Lemon </p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Middle Notes</h6>
<p>Gardenia, Orris, Rose </p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Base Notes</h6>
<p>Amber, Musk, Vanilla</p>
</div>",,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
haneen-gold-20-ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/HANEEN_GOLD_20_ML_-_Khadlaj_Perfumes-1964697.jpg?v=1722409739,2,HANEEN GOLD 20 ML - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
